channel,spend,impressions,clicks,leads,sales,revenue,roas,cpc,cpl,cpa,ctr,lead_rate,close_rate
facebook_ads,21846.07,5037130,102199,2931,192,17385.46,0.7958163642247782,0.21376011506961906,7.4534527465029,113.78161458333334,0.020289132899091348,0.028679341285139777,0.06550665301944729
google_ads,27021.63,6652302,131379,5845,607,66769.42,2.4709619663950693,0.20567693466992443,4.6230333618477335,44.51668863261944,0.0197494040408869,0.044489606405894395,0.10384944396920445
organic,1745.45,363737,16716,916,53,4920.95,2.819301612764616,0.1044179229480737,1.9055131004366812,32.93301886792453,0.04595628159906746,0.05479779851639148,0.05786026200873363
